timestamp_utc	decision	why	evidence	result
2026-09-01T11:14:00Z	Keep the residual optimization in JsonTypeSupport	The post-PR-191 profile still assigns one finite owner 34% of all reported compile work; JIT is effectively zero	One contended profile sample: 37.96s wall; typeUsesJsonTypesWithSeen 0.313/0.908 reported units and 1,404,269 calls	Created genes-f8vc.9.3 from the deterministic call-count owner; the single wall sample is discovery context, not latency evidence
2026-09-01T11:16:00Z	Reject whole-Type structural memoization	EnumValueMap performs balanced recursive comparisons over Type parameters; lookup cost exceeded the traversal it attempted to avoid	Experiment still used 97% CPU after 2m23s versus the 37.96s control	Terminated only the owned experimental process; no production code adopted
2026-09-01T11:19:00Z	Reject compiler-Ref object-map memoization	Ref wrappers type-check as ObjectMap keys, but the corrected cycle-safe experiment still exceeded the control by a wide margin	First Ref experiment hit stack overflow because wrapper identity did not close recursive declarations; string-guarded retry still used 100% CPU after 1m48s	Terminated only the owned experimental process; retained declaration strings as cycle authority
2026-09-01T11:22:00Z	Adopt request-local definition-result reuse	The existing declaration key is cheap, preserves definition identity, and allows actual generic arguments to remain outside the cache	One contended candidate sample: 251,245 search calls and diff -rq empty across 220 files	The deterministic owner count fell 82.1%; the single 25.84s wall observation is not accepted as latency evidence
2026-09-01T11:48:00Z	Prefer Boolean root-safe caching over a tri-state result	Nested false answers can remain uncached; true answers and the outermost completed false answer preserve the same graph contract with less state	One contended candidate sample: 290,036 search calls and exact 220-file equality	Selected the simpler state model with a deterministic 79.3% call-count reduction; the single 26.28s wall observation is not accepted as latency evidence
2026-09-01T12:45:43Z	Accept focused output-profile fixtures	Recursive and differently applied generic declarations must retain JSON aliases in both first-class profiles	yarn test:genes-ts:snapshots; yarn test:classic:dts	TypeScript snapshots passed in 282.56s and classic declarations passed in 261.93s at background priority
2026-09-01T12:45:43Z	Accept structural output budget	A request-local search cache must not change generated module, import, byte, token, or temporary structure	yarn test:output-quality	Passed in 129.37s; ts-source 57 modules hash 689d13da7917 and classic source/declarations 120 modules hash b637963c4c78
2026-09-01T12:45:43Z	Reject contended server timeout as semantic evidence	The broad server owner advanced through changing cases, then one warm TS baseline exceeded its existing 60-second child bound while the 12-core host load was 12.91 and several unrelated compilers were active	background-priority yarn test:compiler-server; Warm failure-state-ts; empty stdout/stderr; owned processes gone; private stage retained for inspection	Inconclusive, not green; rerun the focused rollback owner under lower contention before claiming server equivalence
2026-09-01T12:52:00Z	Correct the semantic fixture boundary	The original fixture mixed the generic application and direct cycle payload in one module, so the direct payload authorized aliases and masked the old traversal defect	#191 baseline output for the mixed fixture still contained the alias family	Split generic and cycle modules; order aPlain before zJson so only generic-argument scanning can authorize the generic module aliases
2026-09-01T12:52:00Z	Accept the isolated red-green contract	A prior plain application must not suppress the actual JSON argument of a later application of the same recursive typedef	#191 source emitted JsonPrimitive/JsonObject/JsonArray uses with no definitions and focused TypeScript returned TS2304 three times; current source emitted the canonical family and the same TypeScript command passed	The cache preserves per-application arguments while safely reusing only the underlying declaration result
