ts	phase	decision	why	evidence	result
2026-09-01T15:20:10Z	architecture	adopted the Oracle bounded-supervisor design but moved it to a clean replacement PR	the helper process, state schema, output buffer, and lifecycle replace PR 183's accepted architecture; repository policy requires preserving and superseding that history	orq_20260901T131222Z_0ca917d6; PR #183 head 733ae064	Oracle request processed and archived; child Bead genes-l8ux.1 created
2026-09-01T15:20:10Z	contract	bounded every process, output, console, drain, and evidence-publication operation	process cleanup cannot guarantee wrapper completion while output EOF or filesystem callbacks remain unbounded	genes-l8ux.1 description, design, and acceptance criteria	positive contract fixed; Windows and compiler semantics remain separate
2026-09-01T15:20:10Z	before-evidence	kept the old owner red reproduction with a temporary two-second descriptor holder	the old owner must not wait for an unrelated process to close inherited output	exact old module at 733ae064; current descriptor-root probe	old owner waited 2074ms and failed because root streams did not close; no probe survived
2026-09-01T15:20:10Z	focused-proof	accepted the first complete adversarial lifecycle pass as a checkpoint	the suite covered timeout, root exit, descriptor drain, byte limits, stalled console and writer callbacks, EIO, ENOSPC, state failure, signals, and healthy and failed gates	background-priority yarn test:acceptance-process-owner	passed in 71.72s; later static review still found deadline and probe-race corrections
2026-09-01T15:20:10Z	static-review	kept evidence preparation inside the aggregate deadline and made process-group absence fail closed	the first timer reused stale remaining time, and one ps snapshot could miss a group that the kernel still resolved	scripts/acceptance-process-owner.ts	deadline now recomputes before spawn; no-row ps results require kernel-confirmed absence
2026-09-01T15:20:10Z	structural-proof	accepted test routing and required-job ownership after the new helper was registered	the focused owner, aggregate, workflow artifact, and full local gate must remain independently selectable and ordered	yarn test:agent-test-routing; yarn test:ci-gate-ownership; yarn test:main-protection-policy	54-route manifest, test selection, CI ownership, and main-protection checks pass under background priority
2026-09-01T15:38:02Z	focused-final	accepted the bounded owner for normal-priority calibration and broader acceptance	the final suite covers every untrusted source, sink, cleanup, reset, and publication boundary in the replacement contract	background-priority yarn test:acceptance-process-owner	passed in 171.12s under severe contention; no owner, helper, or descendant probe survived; duration is not performance evidence
2026-09-01T16:08:00Z	architecture-reconciliation	adopted the later canonical local Oracle disposition and superseded the earlier slot-based policy	hosted run 33506587729 showed 39 healthy logs used 101229 bytes total and 49932 bytes maximum, so three preallocated slots, six overlapping byte budgets, and custom exit 74 add complexity without evidence	orq_20260901T131222Z_0ca917d6; .audit/genes-l8ux-oracle-disposition.md; hosted run 33506587729	replacement now uses atomic temporary-plus-rename state publication, 8MiB retained and 16MiB console per gate, one 256MiB owner-wide observed ceiling, and ordinary nonzero evidence failure
2026-09-01T16:15:00Z	focused-proof	accepted the simplified finite owner for exact-head publication	the adversarial suite exercises every retained lifecycle boundary after removing slots and redundant counters	background-priority yarn test:acceptance-process-owner	passed in 29.15s; timeout, root exit, descriptor drain, byte ceiling, stalled sinks/writers, EIO, ENOSPC, state fallback, signal, healthy, and failed paths passed
2026-09-01T16:17:00Z	structural-proof	accepted routing and required-job ownership after simplification	the replacement must remain a separately owned fixture and required aggregate prerequisite	yarn test:agent-test-routing; yarn test:ci-gate-ownership; yarn test:main-protection-policy; yarn test:agent-guides	54-route contract, CI ownership, required-job policy, and seven linked guides passed
2026-09-01T16:19:00Z	calibration	deferred local wall-clock calibration and retained hosted byte evidence	load was 17.83 on 12 cores with several unrelated Haxe compiles, so a workstation timing would not be valid evidence	uptime; exact process inventory; hosted run 33506587729	fresh exact-head hosted CI will provide normal-priority timing; local reduced-priority durations are correctness evidence only
2026-09-01T16:24:00Z	exact-head-review	added a two-gate regression for the owner-wide observed-byte ceiling	the simplified policy replaced per-gate observed caps with one cumulative owner cap, so a single noisy-gate test did not prove accumulation across successful gates	scripts/test-acceptance-process-owner.ts; background-priority yarn test:acceptance-process-owner	first gate remained passed, second gate failed after cumulative output crossed the ceiling, durable totals exceeded the test limit, and the complete suite passed in 29.73s
2026-09-01T16:05:00Z	scope-checkpoint	classified three exact-head review findings before further edits	a pending OS-pipe write and signal during reconciliation violate the finite-owner contract; post-rename fsync failure invalidates only the overstrong old-state fallback wording	Codex review of ab80f199; comments 3905956373, 3905956381, 3905956387	PR returned to draft and hosted run 33528522223 cancelled; all corrections remain within the accepted finite supervisor
2026-09-01T16:13:00Z	review-fix	closed console handles on timeout and linearized terminal authority	Promise rejection alone does not release a pending libuv pipe write, while console-triggered state changes made one signal republish insufficient	scripts/acceptance-process-owner.ts; blocked-console owner probe; publication-signal probe	timed-out destination is destroyed; console facts freeze after all writes settle; marker precedes terminal snapshot; sole republish is signal-driven and later signals coalesce
2026-09-01T16:14:00Z	contract-correction	replaced the impossible all-failures-preserve-old-state claim with the enforceable complete-document invariant	a directory fsync can fail after atomic rename has already made the complete new state visible	scripts/acceptance-evidence-writer.ts ordering; docs/TESTING_STRATEGY.md	state.json is always one complete old or new document; pre-rename failure preserves old; post-rename failure reports uncertain directory durability
