timestamp	decision	why	evidence	result
2026-07-31T00:00:00Z	Keep G2 as one admitted-generation composition layer	The public contract is one project and one output scope; CLI, framework, validation policy, and release work are already separate Beads	genes-5x9c.2 acceptance criteria; development-session/v1/README.md; live tooling/AGENTS.md	Implement only createGenesDevelopmentSession and its internal adapters
2026-07-31T00:00:01Z	Reuse the compiler-owned v2 manifest as the candidate inventory	It is the only exact authority for generated-file ownership and stale deletion; scanning extensions or generated text would guess	src/genes/OutputTransaction.hx; scripts/exported-surface-policy.ts	Add one shared tooling manifest reader and build outer publication transitions from exact owned paths
2026-07-31T00:00:02Z	Keep host validation before public mutation and use the artifact callback only to verify an admission ticket	The artifact callback runs after physical moves, so expensive validation there would expose rejected bytes temporarily	tooling/src/artifacts/publisher.ts; Oracle architecture review	Validate the private tree first; bind policy, output identity, and manifest digest into authorizationDigest
2026-07-31T00:00:03Z	Use a separate session generation marker as the outer transaction commit marker	An unchanged candidate must still advance generation, while the Genes ownership manifest can remain byte-identical	development-session vector unchanged-candidate-advances-generation; artifact plan requires a changed commit marker	Stage one private generation record and publish it last through the existing artifact transaction
2026-07-31T00:00:04Z	Keep runtime test seams internal	The public v1 API intentionally asks only for project identity, invocation resolution, validation, and lifecycle controls	tooling/src/session/types.ts and released protocol schema	Export createGenesDevelopmentSession only; inject controlled primitives from an internal factory for exact conformance tests
2026-07-31T00:00:05Z	Report the generation acquired after a publication wait	A queued read begins after the writer commits and must identify the bytes it can actually read, not the generation current before it waited	writer-priority read fixture with a held second publication	Read the accepted generation only after acquiring the read side of the gate
2026-07-31T00:00:06Z	Reject public-output drift using the outer accepted marker	The compiler manifest names ownership but does not contain the previously admitted file digests; rereading edited output as prior state would silently bless manual changes	accepted-generation marker plus public-drift fixture	Persist the admitted manifest digest in the marker and compare it before every later publication
2026-07-31T00:00:07Z	Probe Haxe server readiness without using the first compilation as the probe	A real project compilation can legitimately exceed a short server-readiness deadline; readiness and build duration are different contracts	native TCP readiness plus real Haxe cold/warm integration	Use the loopback listener probe for readiness, then run every compilation through the normal connected/direct path
2026-07-31T00:00:08Z	Key the lifetime writer lock by project output rather than state directory	Two hosts can choose different private state directories while targeting the same public generated tree; state-local locks would not meet the one-writer contract	alternate-state single-writer fixture	Store the lock at one deterministic project-relative path derived from the public output identity
2026-07-31T00:00:09Z	Mirror the compiler's UTF-16 manifest-scope spelling exactly	Haxe iterates a String by UTF-16 code unit while JavaScript for-of iterates Unicode code points; a non-BMP output filename would otherwise make tooling look for the wrong manifest	entry-rocket fixture against OutputTransaction.safeScope	Iterate ownerIdentity with charCodeAt and preserve the compiler's two-underscore surrogate-pair spelling
