ts	phase	decision	why	evidence	result
2026-07-31T06:15:11Z	ownership	Kept the Bytes.toHex correction in the Genes distribution instead of consuming a full Haxe fork	The defect is one JavaScript stdlib module's lost typing evidence; distributing another parser, typer, macro runtime, every target, and full stdlib would be disproportionate	Oracle raw-syntax review; Haxe 4.3.7 std/js/_std/haxe/io/Bytes.hx; fullofcaffeine/haxe#1 retained as reference	Haxe fork will not be consumed
2026-07-31T06:24:00Z	reflaxe-reference	Adopted Reflaxe's target-library ownership principle but not its cross-target packaging machinery	Reflaxe.Ruby and Reflaxe.Elixir need _std classpaths and packaged .cross.hx modules; Genes remains on Haxe's native JavaScript target	../reflaxe/Run.hx; ../haxe.ruby/src/reflaxe/ruby/CompilerBootstrap.hx; ../haxe.elixir.codex source/package metadata	Genes uses Haxe's native .js.hx selection
2026-07-31T06:30:00Z	selection	Selected src/haxe/io/Bytes.js.hx for both Genes output profiles	TypeScript-readable output is a Genes profile, not a Haxe platform named ts; Haxe resolves platform modules using the active js target	haxe -v tests/byte-buffer-cache/build-ts.hxml; parsed src/haxe/io/Bytes.js.hx	No bootstrap macro or .ts.hx convention is needed
2026-07-31T06:45:29Z	provenance	Added a versioned manifest with upstream, canonical, local, and exact-edit hashes	Haxe classpath replacement copies a whole module even when the semantic delta is one line; drift must fail before compilation	config/stdlib-overrides.json; pinned Haxe 4.3.7 source; formatter 1.18.0	Only var chars:Array<Int> = [] differs from formatter-canonical upstream
2026-07-31T06:45:29Z	semantic-proof	Preserved the ordinary Array<Int>.push destination instead of recognizing raw JavaScript strings	The final raw placeholder has a Dynamic formal and cannot authenticate Int; the annotated table retains exact Haxe-accepted Null<Int> to Int evidence	src/haxe/io/Bytes.js.hx; generated haxe/io/Bytes.ts; unannotated upstream control	One Register.unsafeCast<number> is planned at push; no raw-template assertion is emitted
2026-07-31T06:45:29Z	focused-validation	Passed the first reusable overlay and Bytes semantic gate	The compiler-owned correction must prove both output profiles, strict TypeScript, standard runtime parity, fail-closed behavior, maps, and request isolation	yarn test:stdlib-overrides	TypeScript 5/6/7, byte-identical classic Bytes.js, four runtime profiles, exact two-error control, source maps, and TS-classic-TS compiler-server sequence pass
2026-07-31T06:52:26Z	package-validation	Compiled and executed a clean consumer from the exact unpacked release ZIP	Source-checkout selection is insufficient because GameCarry consumes Genes through Lix and the release packager intentionally archives only tracked commit bytes	yarn test:release-artifact; packaged src/haxe/io/Bytes.js.hx; strict TypeScript 5.5 consumer	160-file deterministic artifact selected the packaged overlay and printed 000f107f80ff
2026-07-31T07:40:34Z	independent-review	Accepted two Major review findings against candidate 9f5114e	The Bytes correction was sound, but the reusable guard trusted revision/formatter labels and omitted manifest/filesystem set equality; the release consumer manually recreated the package classpath rather than exercising -lib resolution	Independent gpt-5.6-sol xhigh exact-diff review of PR #108	Changes requested; candidate not merged
2026-07-31T07:40:34Z	provenance-closure	Authenticated every overlay against the exact Haxe Git object and rejected unregistered JavaScript overlays	A provenance label is not proof; future copied modules and changed identities must fail closed before compilation	Exact e0b355c6 Git source bytes; active Haxe byte comparison; formatter 1.18.0 assertion; revision/formatter/platform/inventory mutation negatives	yarn test:stdlib-overrides passed
2026-07-31T07:40:34Z	package-closure	Installed the generated ZIP into an isolated local Haxelib repository and compiled only through -lib genes-ts	Manually adding the archive's src path and extraParams.hxml only retested known wiring; it did not prove the package-manager contract	Lix-selected Haxe toolchain with resolveLibs=haxelib; exact ZIP install; verbose selected path under the isolated .haxelib; explicit manifest/docs inventory checks	yarn test:release-artifact passed; 161-file artifact printed 000f107f80ff
2026-07-31T07:49:00Z	inventory-closure	Expanded manifest inventory discovery from src/haxe to every src/**/*.js.hx path	Haxe also supports top-level platform modules such as src/String.js.hx; the narrower root could let a future unregistered overlay ship without provenance review	Independent gpt-5.6-sol xhigh closure review of 015ef59; scripts/test-stdlib-overrides.ts; top-level mutation control	Every current or future JavaScript platform overlay must be registered, including top-level modules
2026-07-31T08:16:11Z	hosted-prerequisite	Installed formatter 1.18.0 in both hosted jobs before they run acceptance	The exact overlay gate correctly failed on Node latest LTS because that job had selected Haxe but had not provisioned the formatter required to authenticate canonical upstream source	Hosted run 30614286204 job 91103847694; .github/workflows/ci.yml; scripts/test-main-protection-policy.ts	Workflow now provisions and structurally protects the same pinned formatter contract used locally
2026-07-31T08:19:22Z	hosted-prerequisite-review	Protected the complete Haxe install, Haxe selection, formatter install, acceptance order	The workflow was correct, but the first policy assertion would not catch a future formatter step moved before the selected Haxe distribution	Independent gpt-5.6-sol xhigh review of f0c5bee; scripts/test-main-protection-policy.ts	Policy now requires lix install then lix use then formatter 1.18.0 then acceptance in both jobs
