ts	phase	decision	why	evidence	result
2026-09-04T08:41:38Z	contract	kept the prerequisite to deterministic acceptance-process lifecycle evidence	PR 191 is blocked by flaky process-start timing assumptions, not a demonstrated compiler or production lifecycle regression	Beads genes-f8vc.9.5 through genes-f8vc.9.9	production limits, signal order, fallback policy, Windows behavior, and compiler output remain out of scope
2026-09-04T08:41:38Z	red-evidence	rejected timeout-only edits after three independent failures moved with scheduler load	one spawned Node probe or evidence writer could consume the complete 50ms to 500ms fixture allowance before testing the intended semantic rule	.audit/genes-f8vc.9.5-failures.md; hosted CI run 33837298128 job 100912823563	zombie scan, drain marker, and non-degraded startup assertions were classified as separate invalid witnesses
2026-09-04T08:41:38Z	oracle-reconciliation	adopted the typed observation and virtual-time plan as advisory architecture evidence	the process-group state machine can be proved without process-start timing while public cleanup still uses the bounded spawned adapter	Oracle request orq_20260904T061243Z_12fe1860; .audit/genes-f8vc.9.5-oracle-disposition.md	response processed with gpt-5.6-sol/xhigh and archived; no attachments; no second request dispatched
2026-09-04T08:41:38Z	process-observation	parameterized only the internal wait loop over typed observations and monotonic time	one provisional zombie result, two-scan acceptance, live reset, absence, and degraded fallback need deterministic authority rather than wall-clock luck	scripts/acceptance-process-owner.ts; 100 scripted iterations in scripts/test-acceptance-process-owner.ts	public termination constructs the spawned observer and keeps its signature, signal order, and conservative fallback
2026-09-04T08:41:38Z	adapter-boundary	kept real spawned-probe and POSIX cleanup coverage	virtual semantics alone cannot prove command protocol decoding, process-group removal, descendant cleanup, or bystander safety	real bystander adapter checks plus hung-tree, root-exit, descriptor-holder, signal, output-error, and degraded-probe fixtures	false absent exit 0 cannot bypass the kernel witness; real probe reports the ready group live without stopping it
2026-09-04T08:41:38Z	drain-order	replaced a child-created marker and elapsed lower bound with synchronous operation-dispatch ordering	the contract is console-write settlement before log publication, not evidence-writer startup within the console deadline	ordered events console-write-stalled, console-write-settled, publish-log-dispatched	descriptor-holder separately owns the real drainTimedOut=true branch
2026-09-04T08:41:38Z	evidence-split	tracked each later independent timing witness instead of broadening one assertion	repetition exposed process startup, writer input close, and nested report publication as distinct proof owners	Beads genes-f8vc.9.6 through genes-f8vc.9.9	intentional missing-marker, owner-expiry, console, drain, probe-stall, and writer-stall deadlines remain exact and short
2026-09-04T08:41:38Z	readiness-budget	centralized successful test-helper readiness at 30 seconds and nested completion at 60 seconds	background scheduling produced valid Node startup beyond the former 2s, 5s, and 15s assumptions; these are readiness bounds, not latency SLOs	scripts/acceptance-test-budgets.ts; successful owner, writer, marker, PID, and publication paths	no production default changed; 20ms to 500ms injected fault bounds still exercise their named failures
2026-09-04T08:41:38Z	focused-proof	accepted the prerequisite implementation after 20 serial unchanged background-priority runs	the acceptance criteria require deterministic semantics plus repeated real OS/process integration under the repository scheduling policy	taskpolicy -b nice -n 10 yarn test:acceptance-process-owner	20 of 20 passed; observed durations 115.51s to 217.97s; no retry or source change occurred within the series
2026-09-04T08:41:38Z	cleanup-proof	confirmed the repeated suite left no fixture process tree behind	stabilizing assertions must not trade flakes for leaked owners, probes, writers, or descendants	post-series ps scan scoped to the worktree acceptance owner, process probe, and evidence writer	no matching process remained except the scan command itself
2026-09-04T08:41:38Z	structural-proof	kept the focused owner selected and required by repository policy	a stable test has no release value if compiler changes or protected jobs can bypass it	yarn test:agent-test-routing; yarn test:ci-gate-ownership; yarn test:main-protection-policy	56 gates, plan selection, compiler acceptance ownership, and required-check policy all passed
