ts	phase	decision	why	evidence	result
2026-07-27T18:40:48Z	frame	claimed genes-j9m1 and isolated it in a release-hardening worktree	this P1 blocks the first npm publication and must not overlap the primary checkout or authorize registry mutation	bd show genes-j9m1; branch fix/tooling-release-hardening; base 6fc8611	implementation started; no release performed
2026-07-27T18:44:42Z	live-policy	disabled self-review and administrator bypass while retaining the existing reviewer and protected-branch rule	the release environment must fail closed before the first npm publication; with one collaborator this intentionally makes self-triggered publication impossible	GitHub environment PUT plus independent GET: prevent_self_review=true; can_admins_bypass=false; protected_branches=true	live tooling-npm-production policy now matches the P1 requirement; no deployment or publication occurred
2026-07-27T18:49:31Z	implementation	pinned every action in both release-capable workflows and added a reusable live environment verifier	full SHAs prevent post-review tag movement; a public live policy check detects settings drift that Git cannot represent	official action tag/commit API evidence; config/tooling-release-environment-policy.json; release workflows; verifier	release workflows fail closed on mutable action identity or weakened production approval policy
2026-07-27T18:51:07Z	focused-test	ran the release-contract owner under pinned Node 22.23.1 after frozen dependency installation	the initial fresh-worktree attempt lacked dependencies and used unsupported Node 23, so it was setup evidence rather than a product result	yarn install --frozen-lockfile; yarn test:tooling-release-workflow	focused test passed, including negative policy mutations and the live GitHub environment read
2026-07-27T18:58:14Z	source-order	moved protected-source verification before every checked-in executable and restricted manual compiler release to main	an arbitrary tooling commit input previously selected the checkout and ran repository scripts before the later origin/main comparison; manual compiler dispatch also accepted non-main refs	release-tooling.yml now checks out github.sha and verifies HEAD plus origin/main first; release.yml job condition requires refs/heads/main	unreviewed branch or commit code can no longer enter either release-capable job through manual dispatch
2026-07-27T18:59:02Z	action-custody	recorded the exact official signed action releases selected for both release workflows	reviewers need reproducible provenance for immutable SHA choices, not only a claim that forty hexadecimal characters were used	GitHub APIs: checkout v6.1.0 d23441a... and v4.4.0 11d5960...; setup-node v6.5.0 2499707... and v4.4.0 49933ea...; upload-artifact v4.6.2 ea165f8...; cache v4.3.0 0057852...; all commits verified by GitHub	exact pinned action identities are reviewable and protected by the repository test
2026-07-27T19:09:47Z	api-correction	retried the desired environment update with numeric request fields after GitHub rejected the first request	the first CLI form serialized wait_timer as a string and changed nothing; recording the failed attempt prevents the final setting from looking magically successful	transcript:99097 rejected HTTP 422 and showed the old policy; transcript:99101 accepted the typed request and independently reread the new policy	first request was harmless; corrected request set the intended policy and was verified
2026-07-27T19:09:47Z	full-gate	ran the complete repository CI contract under pinned Node 22.23.1	a release-boundary change is not usable until classic JS, TypeScript, tooling, security, server, examples, and ts2hx remain green	transcript:99329; yarn test:ci	full gate passed in 986.68 seconds
2026-07-27T19:09:47Z	no-release	confirmed the tooling release workflow has never run	this task changes release controls but has no authority to publish or dispatch the protected job	transcript:99335; GitHub workflow-runs API	total_count=0 and live verifier still green; no npm publication, tag, Haxelib, GitHub release, or deployment occurred
2026-07-27T19:09:47Z	self-audit	matched every trail row to the active transcript and durable diff before independent review	the long run included a failed API serialization attempt and a fresh-worktree setup failure that must not be mistaken for product failures	transcript:99091,99097,99101,99126,99150,99160,99329,99335; git diff --check	trail is truthful and now records both pivots, exact custody, full verification, and non-publication
2026-07-27T19:19:28Z	review-fix	closed action-policy and source-order false negatives found by independent review	release tests must reject every executable action form and every repository command before source proof, not only the expected happy-path spelling	independent gpt-5.6-sol review; local/container/inline action mutations; inserted pre-proof run mutation; focused gate	release policy now fails closed for full-line and inline unreviewed uses entries and for executable steps before protected-source proof
2026-07-27T19:19:28Z	compiler-trigger	restricted privileged automatic compiler release to successful push CI from this repository's own main branch	a workflow_run branch filter alone can match a fork pull request whose source branch is also named main, exposing write credentials to untrusted checkout code	independent gpt-5.6-sol review; release.yml event/repository/branch predicates; pull-request/fork/non-main mutations	privileged compiler release no longer accepts pull-request or fork workflow runs
2026-07-27T19:19:28Z	no-release-correction	narrowed the earlier no-release claim to this task and the tooling package	an unrelated automatic compiler release from the pre-task main revision was already running, so the earlier broad statement was not supported	GitHub run 30296406751 remains in_progress for 6fc8611; tooling workflow total_count=0; tooling environment deployments=0; npm registry returned E404	this task performed no dispatch or publication; @genes-ts/tooling remains unpublished, while the unrelated compiler release is reported separately
2026-07-27T19:23:37Z	yaml-identity	replaced regex-only action discovery with semantic YAML parsing	YAML permits inline, quoted, and escaped mapping keys that text patterns can miss, so a release policy must inventory what GitHub will execute	js-yaml parsed action inventory; canonical full-line SHA comparison; local/container/inline/quoted mutations	all semantic uses entries must match the reviewed action list and canonical SHA-comment spelling
2026-07-27T19:23:37Z	repository-binding	pinned the live environment verifier to fullofcaffeine/genes-ts	the checked-in repository field selects the API endpoint; without an independent canonical assertion it could redirect verification to a lookalike environment	wrong-repository policy mutation against a valid environment snapshot; focused gate	live policy proof cannot be redirected to another public repository
2026-07-27T19:23:37Z	stale-full-gate	stopped the second full CI attempt after review changed the diff	a passing run against an earlier diff is evidence but cannot verify later security corrections	full CI session 36053 passed release/security/tooling stages before deliberate interrupt	no final full-gate claim will be made until a fresh run completes on the settled diff
2026-07-27T19:25:28Z	required-ci-owner	scoped the live release-policy gate to the required genes-ts PR job	a command present only in an advisory job would look covered in a whole-file search while allowing weakened live settings to merge	parsed CI job structure; mutation relocates the command from genes-ts to another job and is rejected	normal PR/main acceptance now owns the live external-settings check at the required status boundary
2026-07-27T19:44:02Z	independent-review	accepted all security and policy corrections after repeated adversarial mutation review	a release-capable change needs an independent pass that tries to bypass its checks, not only confirmation of the intended path	gpt-5.6-sol max review; independently reran focused gate and git diff --check	no remaining P0-P3 code or security finding; only the then-pending fresh full gate remained
